Date,Open,High,Low,Close,Volume
2020-01-01,7007.363792594302,7038.662966457895,6917.171226411224,6945.3359375,634725.0
2020-01-02,6960.438423611708,6998.814021192905,6945.619994973198,6962.57568359375,616838.0
2020-01-03,6961.720888974127,6964.617878097322,6863.929185369783,6890.763671875,571967.0
2020-01-06,6839.232092719635,6848.731026181746,6674.425597152016,6689.52880859375,748516.0
2020-01-07,6744.242618401264,6806.555713385005,6674.330376805239,6719.16552734375,590500.0
2020-01-08,6706.246621169079,6760.057983234566,6630.68279554582,6682.689453125,793313.0
2020-01-09,6782.238356023167,6877.227688740578,6746.1424095905495,6865.73388671875,798184.0
2020-01-10,6897.555634645149,6981.621198018001,6871.908513616145,6963.193359375,747847.0
2020-01-13,6964.617297668467,7000.713241109737,6915.032684573116,6984.2802734375,537399.0
2020-01-14,6986.464966407693,7040.988747073884,6958.538197170383,7016.67138671875,548522.0
2020-01-15,7018.714904722986,7128.949846402126,6984.566052044615,7108.0048828125,692726.0
2020-01-16,7082.87944033395,7144.1475586068045,7049.348392138563,7088.72119140625,640207.0
2020-01-17,7094.753380290076,7190.597525854979,7060.129582404737,7143.34033203125,750738.0
2020-01-20,7144.385450230294,7152.222070468207,7049.205949814691,7076.32568359375,407828.0
2020-01-21,7040.134756272589,7062.124695164116,6922.632760134528,6936.73876953125,442561.0
2020-01-22,6972.217190037109,7005.416148150592,6751.794623662866,6778.05908203125,1048435.0
2020-01-23,6787.367417756882,6858.229549913744,6766.232292066358,6788.982421875,589326.0
2020-01-24,6790.597537150183,6848.731196913556,6754.929226636828,6771.267578125,645723.0
2020-01-27,6745.667399541635,6862.979224345323,6707.196720152571,6790.59716796875,573149.0
2020-01-28,6820.1870390674185,6858.182773597833,6614.107488382031,6646.451171875,1614448.0
2020-01-29,6658.751838638098,6759.67799881717,6625.505574108521,6659.03662109375,1001252.0
2020-01-30,6668.251073419576,6695.797979563332,6631.2052341228,6668.6787109375,579174.0
2020-01-31,6682.49943957305,6710.046345578397,6550.036631893713,6567.08740234375,868935.0
2020-02-03,6440.277622437329,6691.856996660911,6440.277622437329,6659.98779296875,1010531.0
2020-02-04,6668.250641362527,6853.479825844819,6650.202669541175,6838.8515625,973311.0
2020-02-05,6853.480028763303,6869.248350005524,6673.570333938269,6688.103515625,718489.0
2020-02-06,6720.495206372468,6763.572960988347,6627.215497275295,6669.77099609375,875714.0
2020-02-07,6686.299272930712,6696.748099753021,6587.510364792511,6622.4189453125,645814.0
2020-02-10,6625.5058650917335,6638.899453582035,6507.814176251187,6547.51953125,593773.0
2020-02-11,6601.7584476908205,6733.793616644637,6565.947284685944,6681.31201171875,743160.0
2020-02-12,6702.542213321965,6753.741369478057,6656.804943646112,6690.38330078125,599364.0
2020-02-13,6696.748185007718,6702.447545165172,6578.011515060773,6654.05029296875,723169.0
2020-02-14,6649.300861289856,6733.746752454226,6555.214109053014,6567.37255859375,614859.0
2020-02-17,6573.261867919065,6630.255467929924,6535.266134578492,6560.67578125,463548.0
2020-02-18,6578.011335288014,6582.760801956092,6398.291331041901,6441.32177734375,830678.0
2020-02-19,6506.769259976338,6511.471417449368,6292.663397819844,6418.04931640625,1033939.0
2020-02-20,6422.229056404591,6466.446407126972,6383.283428344749,6418.99951171875,682513.0
2020-02-24,6373.784484618544,6373.784484618544,6117.123111649288,6146.18994140625,1091346.0
2020-02-25,6179.436582130275,6183.806184639748,6057.042721795689,6093.138671875,964897.0
2020-02-26,6031.822504441038,6049.728086055823,5876.087311103489,5922.4423828125,1580738.0
2020-02-27,5917.835721899063,6020.471515466303,5857.802275117151,5974.63916015625,1492657.0
2020-02-28,5854.239929255915,6048.303415769794,5797.389184242138,5968.27490234375,1468843.0
