Date,Open,High,Low,Close,Volume
2020-01-01,679.0819971118469,683.1529137163456,673.490123328754,675.32421875,14004468.0
2020-01-02,676.397899264457,689.3487905881979,676.397899264457,686.8212280273438,17710316.0
2020-01-03,685.7923126356704,689.6619561224467,681.3187895160008,687.6488647460938,20984698.0
2020-01-06,679.9767186772816,683.5107670428088,670.13493269889,671.70068359375,24519177.0
2020-01-07,679.5293813804267,686.4633961016671,677.0689495898322,682.0346069335938,16683622.0
2020-01-08,677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902.0
2020-01-09,688.2975058097518,693.3973052036212,685.0094646794911,692.5026245117188,14982742.0
2020-01-10,694.2472957890357,696.9537946408119,688.7672268918529,692.3460693359375,12478359.0
2020-01-13,691.182918802657,697.2892636445985,688.2080160085029,690.5789794921875,18282382.0
2020-01-14,688.9238120878065,693.3973351908096,680.8043754201078,684.181884765625,15816535.0
2020-01-15,687.0672990416617,688.8790573291237,679.1938699492092,681.6990356445312,15817859.0
2020-01-16,684.0028644434916,690.4223472080394,683.5554644082378,687.9842529296875,12847975.0
2020-01-17,694.9630411899628,709.0322829800654,694.8288390890643,707.2652587890625,29463471.0
2020-01-20,719.7911481994419,719.7911481994419,682.839761284159,685.5015258789062,32545850.0
2020-01-21,683.8240435553602,691.5408742450458,680.8714775601642,686.1950073242188,18922720.0
2020-01-22,690.7131763493682,691.9433921150559,684.9423069375898,685.9488525390625,10322817.0
2020-01-23,687.3580618125278,689.796156393504,680.2899048582964,683.0411376953125,11247739.0
2020-01-24,683.1082008428737,687.2909825261135,679.3280852091012,680.670166015625,14628445.0
2020-01-27,677.6952802850295,681.9674704241261,673.2664314282462,673.9598388671875,13387750.0
2020-01-28,674.8768456496997,675.5031818296184,654.7459935025485,658.3919067382812,24532236.0
2020-01-29,659.4207487202938,668.5243925324733,654.9472262974796,662.0154418945312,24746565.0
2020-01-30,661.6352224321117,661.9483606637074,644.1884717288344,645.8660278320312,22402689.0
2020-01-31,650.004074503463,650.115939458839,629.5153479649114,631.5060424804688,34750310.0
2020-02-03,612.8289902103342,626.2719547408867,609.7646194987522,619.8076782226562,30712290.0
2020-02-04,626.2943485822723,640.8333280510134,625.3101998110101,638.1044921875,25383901.0
2020-02-05,641.9068982608502,649.9145288544571,639.849132797698,647.9909057617188,18472100.0
2020-02-06,650.4961469348968,656.26695662953,644.2332031533095,652.1513061523438,15538577.0
2020-02-07,649.1094039600182,649.7133433335028,638.9544787429636,641.3478393554688,12209212.0
2020-02-10,638.8201262121858,646.6488198926669,630.9690953805479,642.2200317382812,15142476.0
2020-02-11,647.4987907400189,655.9090270916164,646.4475111960692,649.8921508789062,13999816.0
2020-02-12,651.4132707150139,659.7787743619559,650.8987994375913,657.7432861328125,13533565.0
2020-02-13,661.0760000110254,661.0760000110254,654.2985851368666,659.4655151367188,13565659.0
2020-02-14,660.8523004641426,671.6782343336056,650.0487037471439,665.482421875,21227841.0
2020-02-17,666.108801931165,673.7808982963232,659.5327193324579,661.2997436523438,13149130.0
2020-02-18,660.248373884015,660.248373884015,651.9723392868693,656.4458618164062,11127161.0
2020-02-19,661.7918138192991,673.9150960904617,659.8905874009041,672.7296142578125,14084409.0
2020-02-20,669.6876451612479,674.6085086758875,663.7825731086709,664.744384765625,16892268.0
2020-02-24,657.4971707893623,660.7404777544862,643.9871345353313,646.40283203125,21370214.0
2020-02-25,649.2883120922913,649.2883120922913,630.7678836964259,633.6309814453125,27745062.0
2020-02-26,630.7678186366056,631.8190982347916,620.6352917833475,622.7154541015625,29362748.0
2020-02-27,620.9261263497503,623.520820005058,612.4264202255112,620.143310546875,25054993.0
2020-02-28,606.1186837322065,607.0581581658521,592.7428492925397,594.3756713867188,39315769.0
2020-03-02,606.2081051825395,612.4263145698782,582.0510718430629,588.7837524414062,29500495.0
2020-03-03,594.8454740172322,605.6714099989539,591.4008335900859,600.7281494140625,27398798.0
2020-03-04,604.8213738082619,605.6265863851147,585.0930684252744,599.3189086914062,22105261.0
2020-03-05,604.9109502487335,607.4832471398267,584.2432264899035,586.547119140625,30510390.0
2020-03-06,568.1384140570675,576.2579099445863,555.2099199542964,568.5857543945312,33734039.0
2020-03-09,554.7401888514859,555.1651920392663,489.8516505743549,498.41845703125,88187018.0
2020-03-11,495.6671803789598,527.1832005807552,495.6671803789598,516.0441284179688,59578576.0
2020-03-12,485.3781638437168,492.5357890300457,469.13923040549446,475.536376953125,55970485.0
2020-03-13,446.45838815033005,509.98250923399024,421.5855779962733,494.4593811035156,73297403.0
2020-03-16,474.4403385952524,483.00714524632815,449.5898653118392,454.3765563964844,38482258.0
2020-03-17,468.49050072051966,474.1942690006391,448.78462201274766,450.9319152832031,45445979.0
2020-03-18,458.6711544738802,463.4131116395079,429.9063628131876,433.2615051269531,44730415.0
2020-03-19,411.6095964210696,432.5904563115507,399.128442171934,410.5359497070313,61404010.0
2020-03-20,420.2882504902189,462.9657459489258,416.0383975453142,455.3831176757813,63360475.0
2020-03-23,409.8648934921591,424.9854448385333,391.7247351423912,395.4825134277344,40670949.0
2020-03-24,416.0383584084689,433.93247910305325,400.7389011910396,422.0328979492188,45734887.0
2020-03-25,431.15893082862937,515.1494403179707,430.9128936371874,484.14788818359375,73130298.0
2020-03-26,490.2094960975014,499.648645569476,466.2984692637249,476.96783447265625,45744488.0
2020-03-27,489.8516259919914,495.3540612398386,468.020791266076,476.6994323730469,41657940.0
2020-03-30,465.51565999753865,480.815118140311,456.30017996614265,460.9750061035156,30229866.0
2020-03-31,480.4348787671312,505.41952430798887,468.8260681247117,498.2395324707031,44292810.0
2020-04-01,502.04195294531377,503.0932325068098,467.57342742716816,483.3426208496094,41597459.0
2020-04-03,507.4997254458984,507.4997254458984,472.5390630031507,482.0005798339844,41367807.0
2020-04-07,493.0277599338764,543.0865379714437,492.0883155365225,539.552490234375,54373624.0
2020-04-08,527.8766166035285,549.7969487728319,518.929571501776,533.3119506835938,49880330.0
2020-04-09,543.0866484415843,551.4968858405396,533.6922622821191,545.7484130859375,33032857.0
2020-04-13,538.590786977077,543.534047096568,527.8766572382242,531.969970703125,23673784.0
