Date,Close,Next_Return,Action,Action_Label,Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2020-02-17,6560.67578125,-0.0181923338213658,0,Hold,-0.0,-0.0181923338213658,1.0,0.9818076661786342
2020-02-18,6441.32177734375,-0.0036129946215941,0,Hold,-0.0,-0.0036129946215941,1.0,0.9782604003612909
2020-02-19,6418.04931640625,0.0001480504847588,0,Hold,0.0,0.0001480504847588,1.0,0.9784052322877848
2020-02-20,6418.99951171875,-0.0425003257617404,0,Hold,-0.0,-0.0425003257617404,1.0,0.9368226911885625
2020-02-24,6146.18994140625,-0.0086315701332054,0,Hold,-0.0,-0.0086315701332054,1.0,0.9287364404271903
2020-02-25,6093.138671875,-0.0280145091478728,0,Hold,-0.0,-0.0280145091478728,1.0,0.9027183449208799
2020-02-26,5922.4423828125,0.0088133871078643,0,Hold,0.0,0.0088133871078643,1.0,0.9106743511440383
2020-02-27,5974.63916015625,-0.0010652120809139,0,Hold,-0.0,-0.0010652120809139,1.0,0.9097042898234212
2020-02-28,5968.27490234375,0.0003262694257322,0,Hold,0.0,0.0003262694257322,1.0,0.910001098519648
2020-03-02,5970.22216796875,0.0160536320598281,0,Hold,0.0,0.0160536320598281,1.0,0.9246099213293218
2020-03-03,6066.06591796875,-0.0002661932981913,0,Hold,-0.0,-0.0002661932981913,1.0,0.9243637963648228
2020-03-04,6064.451171875,-0.002882046016762,0,Hold,-0.0,-0.002882046016762,1.0,0.9216997373674706
2020-03-05,6046.97314453125,0.0125669794926617,0,Hold,0.0,0.0125669794926617,1.0,0.9332827190653593
2020-03-06,6122.96533203125,-0.0379851948586555,0,Hold,-0.0,-0.0379851948586555,1.0,0.8978317931234459
2020-03-09,5890.38330078125,-0.008837066839198,0,Hold,-0.0,-0.008837066839198,1.0,0.889897593557257
2020-03-11,5838.32958984375,-0.0818622788400236,0,Hold,-0.0,-0.0818622788400236,1.0,0.8170485486144068
2020-03-12,5360.390625,0.0346349270546397,0,Hold,0.0,0.0346349270546397,1.0,0.845346965495766
2020-03-13,5546.04736328125,-0.0613760591919304,0,Hold,-0.0,-0.0613760591919304,1.0,0.7934629001037792
2020-03-16,5205.65283203125,0.0225719918166633,0,Hold,0.0,0.0225719918166633,1.0,0.8113729381917476
