Date,Close,Next_Return,Action,Action_Label,Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2020-02-17,2059.757568359375,-0.0080798130373874,0,Hold,-0.0,-0.0080798130373874,1.0,0.9919201869626126
2020-02-18,2043.1151123046875,0.0258462004305499,0,Hold,0.0,0.0258462004305499,1.0,1.017557554925957
2020-02-19,2095.921875,-0.0191525907826956,0,Hold,-0.0,-0.0191525907826956,1.0,0.9980686914786199
2020-02-20,2055.779541015625,-0.0147223914856089,0,Hold,-0.0,-0.0147223914856089,1.0,0.9833747334731422
2020-02-24,2025.5135498046875,0.0083291111731587,0,Hold,0.0,0.0083291111731587,1.0,0.9915653709531153
2020-02-25,2042.38427734375,0.0011640519527216,0,Hold,0.0,0.0011640519527216,1.0,0.9927196045594243
2020-02-26,2044.76171875,0.0083846108291194,0,Hold,0.0,0.0083846108291194,1.0,1.0010431721060924
2020-02-27,2061.90625,-0.0355661099407405,0,Hold,-0.0,-0.0355661099407405,1.0,0.9654399605915395
2020-02-28,1988.572265625,-0.0070356229785621,0,Hold,-0.0,-0.0070356229785621,1.0,0.9586474890203796
2020-03-02,1974.5814208984373,0.0033343078360841,0,Hold,0.0,0.0033343078360841,1.0,0.9618439148550626
2020-03-03,1981.165283203125,0.0042462260252895,0,Hold,0.0,0.0042462260252895,1.0,0.9659281215185865
2020-03-04,1989.5777587890625,0.0193718229290684,0,Hold,0.0,0.0193718229290684,1.0,0.9846399100508523
2020-03-05,2028.1195068359373,-0.0131199796802221,0,Hold,-0.0,-0.0131199796802221,1.0,0.9717214544386494
2020-03-06,2001.5106201171875,-0.0307916231484093,0,Hold,-0.0,-0.0307916231484093,1.0,0.9418005736083503
2020-03-09,1939.880859375,0.0157905758951448,0,Hold,0.0,0.0157905758951448,1.0,0.9566721470440039
2020-03-11,1970.5126953125,-0.0459630018758007,0,Hold,-0.0,-0.0459630018758007,1.0,0.9127006233548941
2020-03-12,1879.9420166015625,-0.0110652359325048,0,Hold,-0.0,-0.0110652359325048,1.0,0.902601375621728
2020-03-13,1859.1400146484373,-0.0449045063796467,0,Hold,-0.0,-0.0449045063796467,1.0,0.8620705063918442
2020-03-16,1775.65625,0.0320045625736964,0,Hold,0.0,0.0320045625736964,1.0,0.8896606958566002
2020-03-17,1832.4853515625,-0.0400437791272418,0,Hold,-0.0,-0.0400437791272418,1.0,0.8540353194535303
2020-03-18,1759.105712890625,-0.0444432755513062,0,Hold,-0.0,-0.0444432755513062,1.0,0.8160791924205092
2020-03-19,1680.92529296875,0.1160853847528056,0,Hold,0.0,0.1160853847528056,1.0,0.9108140594614029
2020-03-20,1876.05615234375,-0.0887069340889493,0,Hold,-0.0,-0.0887069340889493,1.0,0.830018536721472
2020-03-23,1709.636962890625,0.0845857717474456,0,Hold,0.0,0.0845857717474456,1.0,0.9002262952147432
2020-03-24,1854.2479248046875,0.0297357491596939,0,Hold,0.0,0.0297357491596939,1.0,0.9269951985162094
2020-03-25,1909.3853759765625,0.0511219219668468,0,Hold,0.0,0.0511219219668468,1.0,0.9743849747183967
2020-03-26,2006.996826171875,-0.0247618834451106,0,Hold,-0.0,-0.0247618834451106,1.0,0.9502573675437527
2020-03-27,1957.2998046875,0.0204620124483916,0,Hold,0.0,0.0204620124483916,1.0,0.9697015456276088
2020-03-30,1997.35009765625,0.0522580821806626,1,Buy,0.0512580821806626,0.0522580821806626,1.0512580821806625,1.0203762886897318
2020-03-31,2101.727783203125,-0.0517076549625453,0,Hold,-0.001,-0.0517076549625453,1.0502068240984819,0.9676150236222008
2020-04-01,1993.0523681640625,-0.0117219332171052,0,Hold,-0.0,-0.0117219332171052,1.0502068240984819,0.9562727049354336
2020-04-03,1969.68994140625,0.1349981717557962,0,Hold,0.0,0.1349981717557962,1.0502068240984819,1.085367771801687
2020-04-07,2235.594482421875,0.0065237558827977,0,Hold,0.0,0.0065237558827977,1.0502068240984819,1.0924484461879773
2020-04-08,2250.178955078125,-0.0360037553436776,0,Hold,-0.0,-0.0360037553436776,1.0502068240984819,1.0531161996058447
2020-04-09,2169.1640625,-0.0108757603915679,0,Hold,-0.0,-0.0108757603915679,1.0502068240984819,1.041662760154453
2020-04-13,2145.57275390625,0.0601335917688425,0,Hold,0.0,0.0601335917688425,1.0502068240984819,1.1043016833343866
2020-04-15,2274.59375,-0.0206831018931952,0,Hold,-0.0,-0.0206831018931952,1.0502068240984819,1.0814612990971544
2020-04-16,2227.548095703125,-0.0209762411090617,0,Hold,-0.0,-0.0209762411090617,1.0502068240984819,1.0587763061371733
2020-04-17,2180.822509765625,-0.0203141307802422,0,Hold,-0.0,-0.0203141307802422,1.0502068240984819,1.037268185787281
2020-04-20,2136.52099609375,-0.0081961424674815,0,Hold,-0.0,-0.0081961424674815,1.0502068240984819,1.0287665879595824
2020-04-21,2119.009765625,0.0296669241326423,0,Hold,0.0,0.0296669241326423,1.0502068240984819,1.0592869282747768
2020-04-22,2181.874267578125,-0.0287700835978063,0,Hold,-0.0,-0.0287700835978063,1.0502068240984819,1.028811154794248
2020-04-23,2119.1015625,-0.0148435915869417,0,Hold,-0.0,-0.0148435915869417,1.0502068240984819,1.0135399021923923
2020-04-24,2087.646484375,0.0163591392819553,0,Hold,0.0,0.0163591392819553,1.0502068240984819,1.030120542620177
2020-04-27,2121.798583984375,-0.0131436526559371,0,Hold,-0.0,-0.0131436526559371,1.0502068240984819,1.0165809960142318
2020-04-28,2093.910400390625,-0.0254157301615303,-1,Sell,0.0244157301615303,-0.0254157301615303,1.075848390529468,0.9907438477321944
2020-04-29,2040.692138671875,-0.0164668443264034,0,Hold,-0.001,-0.0164668443264034,1.0747725421389385,0.9744294230242464
2020-04-30,2007.08837890625,-0.0511845590226242,0,Hold,-0.0,-0.0511845590226242,1.0747725421389385,0.9245536827080802
2020-05-04,1904.3564453125,-0.0197584844781778,0,Hold,-0.0,-0.0197584844781778,1.0747725421389385,0.9062859031190504
2020-05-05,1866.729248046875,-0.0153317570224805,0,Hold,-0.0,-0.0153317570224805,1.0747725421389385,0.8923909478595299
2020-05-06,1838.1090087890625,-0.0090289484067016,0,Hold,-0.0,-0.0090289484067016,1.0747725421389385,0.8843335960326986
2020-05-07,1821.5128173828125,0.0488941941650198,0,Hold,0.0,0.0488941941650198,1.0747725421389385,0.9275723745837715
2020-05-08,1910.57421875,-0.019837619886855,0,Hold,-0.0,-0.019837619886855,1.0747725421389385,0.9091715463992313
2020-05-11,1872.6729736328125,-0.0177979350283493,0,Hold,-0.0,-0.0177979350283493,1.0747725421389385,0.892990170286794
2020-05-12,1839.34326171875,-0.0078544455431746,0,Hold,-0.0,-0.0078544455431746,1.0747725421389385,0.8859762276236861
2020-05-13,1824.896240234375,0.0051608911305023,0,Hold,0.0,0.0051608911305023,1.0747725421389385,0.8905486544786652
2020-05-14,1834.3143310546875,0.0129856828873238,0,Hold,0.0,0.0129856828873238,1.0747725421389385,0.902113036901458
