Date,Close,Next_Return,Action,Action_Label,Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2020-02-17,756.2171020507812,-0.0111282927225737,0,Hold,-0.0,-0.0111282927225737,1.0,0.9888717072774263
2020-02-18,747.8016967773438,0.0232385239189443,0,Hold,0.0,0.0232385239189443,1.0,1.01185162609976
2020-02-19,765.1795043945312,-0.0146290479449099,0,Hold,-0.0,-0.0146290479449099,1.0,0.9970492001484116
2020-02-20,753.9856567382812,-0.0122282295234286,0,Hold,-0.0,-0.0122282295234286,1.0,0.9848570536828459
2020-02-24,744.7657470703125,0.0026473003895512,0,Hold,0.0,0.0026473003895512,1.0,0.9874642661447128
2020-02-25,746.7373657226562,-0.0085681976730642,0,Hold,-0.0,-0.0085681976730642,1.0,0.9790034771172977
2020-02-26,740.3391723632812,0.0014531254109226,1,Buy,0.00045312541092259995,0.0014531254109226,1.0004531254109226,0.9804260919472786
2020-02-27,741.4149780273438,-0.0298147504355479,0,Hold,-0.001,-0.0298147504355479,0.9994526722855116,0.9511949326953709
2020-02-28,719.3098754882812,0.0209839091882655,0,Hold,0.0,0.0209839091882655,0.9994526722855116,0.9711547207833889
2020-03-02,734.40380859375,0.0154839338084475,0,Hold,0.0,0.0154839338084475,0.9994526722855116,0.9861920161977603
2020-03-03,745.7752685546875,0.0111315514099523,1,Buy,0.0101315514099523,0.0111315514099523,1.0095786784165863,0.9971698633261502
2020-03-04,754.076904296875,0.0021038793356038,0,Hold,-0.001,0.0021038793356038,1.0085690997381698,0.999267788395689
2020-03-05,755.6633911132812,-0.0088682554884021,0,Hold,-0.0,-0.0088682554884021,1.0085690997381698,0.9904060263468655
2020-03-06,748.9619750976562,-0.0242220821085954,0,Hold,-0.0,-0.0242220821085954,1.0085690997381698,0.966416330255844
2020-03-09,730.820556640625,0.0010728455980926,0,Hold,0.0,0.0010728455980926,1.0085690997381698,0.9674531457616837
2020-03-11,731.6046142578125,-0.0300960822117345,0,Hold,-0.0,-0.0300960822117345,1.0085690997381698,0.9383365963508389
