Date,Close,Next_Return,Action,Action_Label,Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2020-02-17,1190.3905029296875,0.0048039932405485,0,Hold,0.0,0.0048039932405485,1.0,1.0048039932405486
2020-02-18,1196.109130859375,-0.0038483339228777,1,Buy,-0.004848333922877699,-0.0038483339228777,0.9951516660771224,1.000937171947518
2020-02-19,1191.506103515625,-0.0006242304692086,0,Hold,-0.001,-0.0006242304692086,0.9941565144110452,1.0003123564670249
2020-02-20,1190.7623291015625,-0.0163202960616521,1,Buy,-0.017320296061652102,-0.0163202960616521,0.9769374292498259,0.9839869626553541
2020-02-24,1171.3287353515625,-0.0140113229864963,0,Hold,-0.001,-0.0140113229864963,0.975960491820576,0.9702000035070885
2020-02-25,1154.9168701171875,-0.0248782406319617,0,Hold,-0.0,-0.0248782406319617,0.975960491820576,0.946063134358709
2020-02-26,1126.1845703125,-0.0006605457968302,0,Hold,-0.0,-0.0006605457968302,0.975960491820576,0.9454382163317724
2020-02-27,1125.440673828125,-0.0188374562481493,-1,Sell,0.017837456248149298,-0.0188374562481493,0.9933691443933479,0.9276285652962943
2020-02-28,1104.240234375,-0.0224412377005541,0,Hold,-0.001,-0.0224412377005541,0.9923757752489546,0.9068114321646563
2020-03-02,1079.459716796875,0.0175726744087425,0,Hold,0.0,0.0175726744087425,0.9923757752489546,0.9227465342122113
2020-03-03,1098.4287109375,-0.0039366202254462,-1,Sell,0.0029366202254462,-0.0039366202254462,0.9952900060217935,0.9191140315426711
2020-03-04,1094.1046142578125,0.0049293170015747,0,Hold,-0.001,0.0049293170015747,0.9942947160157717,0.9236446359647403
2020-03-05,1099.497802734375,-0.0199160971706054,0,Hold,-0.0,-0.0199160971706054,0.9942947160157717,0.9052492396437581
2020-03-06,1077.60009765625,-0.049141565753254,0,Hold,-0.0,-0.049141565753254,0.9942947160157717,0.8607638746107212
2020-03-09,1024.6451416015625,0.0136121582679216,0,Hold,0.0,0.0136121582679216,0.9942947160157717,0.8724807287032318
2020-03-11,1038.5927734375,-0.0898876160181435,0,Hold,-0.0,-0.0898876160181435,0.9942947160157717,0.7940555159783256
